State	series_id                     	year	period	       value	footnote_codes
Mississippi	LAUCN280030000000005          	2011	M06	       14447	R
Mississippi	LAUCN280030000000005          	2012	M06	       14794	R
Mississippi	LAUCN280030000000005          	2013	M06	       14377	R
Mississippi	LAUCN280030000000005          	2014	M06	       14117	R
Mississippi	LAUCN280030000000005          	2015	M06	       15075	R
Mississippi	LAUCN280030000000006          	2010	M06	       15984	R
Mississippi	LAUCN280030000000006          	2011	M06	       16251	R
Mississippi	LAUCN280030000000006          	2012	M06	       16260	R
Mississippi	LAUCN280030000000006          	2013	M06	       15717	R
Mississippi	LAUCN280030000000006          	2014	M06	       15221	R
Mississippi	LAUCN280030000000006          	2015	M06	       16086	R
Mississippi	LAUCN280050000000003          	2010	M06	        13.0	R
Mississippi	LAUCN280050000000003          	2011	M06	        12.7	R
Mississippi	LAUCN280050000000003          	2012	M06	        11.1	R
Mississippi	LAUCN280050000000003          	2013	M06	        10.5	R
Mississippi	LAUCN280050000000003          	2014	M06	         8.8	R
Mississippi	LAUCN280050000000003          	2015	M06	         8.8	R
Mississippi	LAUCN280050000000004          	2010	M06	         634	R
Mississippi	LAUCN280050000000004          	2011	M06	         633	R
Mississippi	LAUCN280050000000004          	2012	M06	         530	R
Mississippi	LAUCN280050000000004          	2013	M06	         482	R
Mississippi	LAUCN280050000000004          	2014	M06	         390	R
Mississippi	LAUCN280050000000004          	2015	M06	         401	R
Mississippi	LAUCN280050000000005          	2010	M06	        4242	R
Mississippi	LAUCN280050000000005          	2011	M06	        4362	R
Mississippi	LAUCN280050000000005          	2012	M06	        4226	R
Mississippi	LAUCN280050000000005          	2013	M06	        4091	R
Mississippi	LAUCN280050000000005          	2014	M06	        4040	R
Mississippi	LAUCN280050000000005          	2015	M06	        4180	R
Mississippi	LAUCN280050000000006          	2010	M06	        4876	R
Mississippi	LAUCN280050000000006          	2011	M06	        4995	R
Mississippi	LAUCN280050000000006          	2012	M06	        4756	R
Mississippi	LAUCN280050000000006          	2013	M06	        4573	R
Mississippi	LAUCN280050000000006          	2014	M06	        4430	R
Mississippi	LAUCN280050000000006          	2015	M06	        4581	R
Mississippi	LAUCN280070000000003          	2010	M06	        12.9	R
Mississippi	LAUCN280070000000003          	2011	M06	        12.0	R
Mississippi	LAUCN280070000000003          	2012	M06	        10.5	R
Mississippi	LAUCN280070000000003          	2013	M06	        10.2	R
Mississippi	LAUCN280070000000003          	2014	M06	         9.4	R
Mississippi	LAUCN280070000000003          	2015	M06	         8.3	R
Mississippi	LAUCN280070000000004          	2010	M06	        1023	R
Mississippi	LAUCN280070000000004          	2011	M06	         969	R
Mississippi	LAUCN280070000000004          	2012	M06	         810	R
Mississippi	LAUCN280070000000004          	2013	M06	         754	R
Mississippi	LAUCN280070000000004          	2014	M06	         678	R
Mississippi	LAUCN280070000000004          	2015	M06	         592	R
Mississippi	LAUCN280070000000005          	2010	M06	        6882	R
Mississippi	LAUCN280070000000005          	2011	M06	        7137	R
Mississippi	LAUCN280070000000005          	2012	M06	        6889	R
Mississippi	LAUCN280070000000005          	2013	M06	        6659	R
Mississippi	LAUCN280070000000005          	2014	M06	        6525	R
Mississippi	LAUCN280070000000005          	2015	M06	        6559	R
Mississippi	LAUCN280070000000006          	2010	M06	        7905	R
Mississippi	LAUCN280070000000006          	2011	M06	        8106	R
Mississippi	LAUCN280070000000006          	2012	M06	        7699	R
Mississippi	LAUCN280070000000006          	2013	M06	        7413	R
Mississippi	LAUCN280070000000006          	2014	M06	        7203	R
Mississippi	LAUCN280070000000006          	2015	M06	        7151	R
Mississippi	LAUCN280090000000003          	2010	M06	        12.6	R
Mississippi	LAUCN280090000000003          	2011	M06	        13.5	R
Mississippi	LAUCN280090000000003          	2012	M06	        11.3	R
Mississippi	LAUCN280090000000003          	2013	M06	        11.8	R
Mississippi	LAUCN280090000000003          	2014	M06	        10.3	R
Mississippi	LAUCN280090000000003          	2015	M06	         9.3	R
Mississippi	LAUCN280090000000004          	2010	M06	         415	R
Mississippi	LAUCN280090000000004          	2011	M06	         463	R
Mississippi	LAUCN280090000000004          	2012	M06	         376	R
Mississippi	LAUCN280090000000004          	2013	M06	         377	R
Mississippi	LAUCN280090000000004          	2014	M06	         313	R
Mississippi	LAUCN280090000000004          	2015	M06	         281	R
Mississippi	LAUCN280090000000005          	2010	M06	        2883	R
Mississippi	LAUCN280090000000005          	2011	M06	        2974	R
Mississippi	LAUCN280090000000005          	2012	M06	        2958	R
Mississippi	LAUCN280090000000005          	2013	M06	        2827	R
Mississippi	LAUCN280090000000005          	2014	M06	        2715	R
Mississippi	LAUCN280090000000005          	2015	M06	        2747	R
Mississippi	LAUCN280090000000006          	2010	M06	        3298	R
Mississippi	LAUCN280090000000006          	2011	M06	        3437	R
Mississippi	LAUCN280090000000006          	2012	M06	        3334	R
Mississippi	LAUCN280090000000006          	2013	M06	        3204	R
Mississippi	LAUCN280090000000006          	2014	M06	        3028	R
Mississippi	LAUCN280090000000006          	2015	M06	        3028	R
Mississippi	LAUCN280110000000003          	2010	M06	        12.2	R
Mississippi	LAUCN280110000000003          	2011	M06	        12.3	R
Mississippi	LAUCN280110000000003          	2012	M06	        11.6	R
Mississippi	LAUCN280110000000003          	2013	M06	        12.0	R
Mississippi	LAUCN280110000000003          	2014	M06	        10.6	R
Mississippi	LAUCN280110000000003          	2015	M06	         9.2	R
Mississippi	LAUCN280110000000004          	2010	M06	        1784	R
Mississippi	LAUCN280110000000004          	2011	M06	        1846	R
Mississippi	LAUCN280110000000004          	2012	M06	        1674	R
Mississippi	LAUCN280110000000004          	2013	M06	        1668	R
Mississippi	LAUCN280110000000004          	2014	M06	        1417	R
Mississippi	LAUCN280110000000004          	2015	M06	        1233	R
Mississippi	LAUCN280110000000005          	2010	M06	       12802	R
Mississippi	LAUCN280110000000005          	2011	M06	       13188	R
Mississippi	LAUCN280110000000005          	2012	M06	       12788	R
Mississippi	LAUCN280110000000005          	2013	M06	       12177	R
Mississippi	LAUCN280110000000005          	2014	M06	       11986	R
Mississippi	LAUCN280110000000005          	2015	M06	       12197	R
Mississippi	LAUCN280110000000006          	2010	M06	       14586	R
Mississippi	LAUCN280110000000006          	2011	M06	       15034	R
Mississippi	LAUCN280110000000006          	2012	M06	       14462	R
Mississippi	LAUCN280110000000006          	2013	M06	       13845	R
Mississippi	LAUCN280110000000006          	2014	M06	       13403	R
Mississippi	LAUCN280110000000006          	2015	M06	       13430	R
Mississippi	LAUCN280130000000003          	2010	M06	         9.6	R
Mississippi	LAUCN280130000000003          	2011	M06	        10.0	R
Mississippi	LAUCN280130000000003          	2012	M06	         9.1	R
Mississippi	LAUCN280130000000003          	2013	M06	         9.5	R
Mississippi	LAUCN280130000000003          	2014	M06	         8.0	R
Mississippi	LAUCN280130000000003          	2015	M06	         6.8	R
Mississippi	LAUCN280130000000004          	2010	M06	         660	R
Mississippi	LAUCN280130000000004          	2011	M06	         704	R
Mississippi	LAUCN280130000000004          	2012	M06	         625	R
Mississippi	LAUCN280130000000004          	2013	M06	         611	R
Mississippi	LAUCN280130000000004          	2014	M06	         507	R
Mississippi	LAUCN280130000000004          	2015	M06	         424	R
Mississippi	LAUCN280130000000005          	2010	M06	        6211	R
Mississippi	LAUCN280130000000005          	2011	M06	        6359	R
Mississippi	LAUCN280130000000005          	2012	M06	        6238	R
Mississippi	LAUCN280130000000005          	2013	M06	        5831	R
Mississippi	LAUCN280130000000005          	2014	M06	        5814	R
Mississippi	LAUCN280130000000005          	2015	M06	        5836	R
Mississippi	LAUCN280130000000006          	2010	M06	        6871	R
Mississippi	LAUCN280130000000006          	2011	M06	        7063	R
Mississippi	LAUCN280130000000006          	2012	M06	        6863	R
Mississippi	LAUCN280130000000006          	2013	M06	        6442	R
Mississippi	LAUCN280130000000006          	2014	M06	        6321	R
Mississippi	LAUCN280130000000006          	2015	M06	        6260	R
Mississippi	LAUCN280150000000003          	2010	M06	        13.2	R
Mississippi	LAUCN280150000000003          	2011	M06	        13.2	R
Mississippi	LAUCN280150000000003          	2012	M06	        11.5	R
Mississippi	LAUCN280150000000003          	2013	M06	        11.5	R
Mississippi	LAUCN280150000000003          	2014	M06	        10.4	R
Mississippi	LAUCN280150000000003          	2015	M06	         8.5	R
Mississippi	LAUCN280150000000004          	2010	M06	         499	R
Mississippi	LAUCN280150000000004          	2011	M06	         500	R
Mississippi	LAUCN280150000000004          	2012	M06	         427	R
Mississippi	LAUCN280150000000004          	2013	M06	         399	R
Mississippi	LAUCN280150000000004          	2014	M06	         356	R
Mississippi	LAUCN280150000000004          	2015	M06	         300	R
Mississippi	LAUCN280150000000005          	2010	M06	        3273	R
Mississippi	LAUCN280150000000005          	2011	M06	        3287	R
Mississippi	LAUCN280150000000005          	2012	M06	        3275	R
Mississippi	LAUCN280150000000005          	2013	M06	        3084	R
Mississippi	LAUCN280150000000005          	2014	M06	        3067	R
Mississippi	LAUCN280150000000005          	2015	M06	        3229	R
Mississippi	LAUCN280150000000006          	2010	M06	        3772	R
Mississippi	LAUCN280150000000006          	2011	M06	        3787	R
Mississippi	LAUCN280150000000006          	2012	M06	        3702	R
Mississippi	LAUCN280150000000006          	2013	M06	        3483	R
Mississippi	LAUCN280150000000006          	2014	M06	        3423	R
Mississippi	LAUCN280150000000006          	2015	M06	        3529	R
Mississippi	LAUCN280170000000003          	2010	M06	        11.9	R
Mississippi	LAUCN280170000000003          	2011	M06	        12.3	R
Mississippi	LAUCN280170000000003          	2012	M06	        10.8	R
Mississippi	LAUCN280170000000003          	2013	M06	        11.7	R
Mississippi	LAUCN280170000000003          	2014	M06	        10.4	R
Mississippi	LAUCN280170000000003          	2015	M06	         8.3	R
Mississippi	LAUCN280170000000004          	2010	M06	         951	R
Mississippi	LAUCN280170000000004          	2011	M06	        1033	R
Mississippi	LAUCN280170000000004          	2012	M06	         893	R
Mississippi	LAUCN280170000000004          	2013	M06	         918	R
Mississippi	LAUCN280170000000004          	2014	M06	         758	R
Mississippi	LAUCN280170000000004          	2015	M06	         604	R
Mississippi	LAUCN280170000000005          	2010	M06	        7052	R
Mississippi	LAUCN280170000000005          	2011	M06	        7390	R
Mississippi	LAUCN280170000000005          	2012	M06	        7364	R
Mississippi	LAUCN280170000000005          	2013	M06	        6909	R
Mississippi	LAUCN280170000000005          	2014	M06	        6548	R
Mississippi	LAUCN280170000000005          	2015	M06	        6700	R
Mississippi	LAUCN280170000000006          	2010	M06	        8003	R
Mississippi	LAUCN280170000000006          	2011	M06	        8423	R
Mississippi	LAUCN280170000000006          	2012	M06	        8257	R
Mississippi	LAUCN280170000000006          	2013	M06	        7827	R
Mississippi	LAUCN280170000000006          	2014	M06	        7306	R
Mississippi	LAUCN280170000000006          	2015	M06	        7304	R
Mississippi	LAUCN280190000000003          	2010	M06	        12.5	R
Mississippi	LAUCN280190000000003          	2011	M06	        11.6	R
Mississippi	LAUCN280190000000003          	2012	M06	        10.1	R
Mississippi	LAUCN280190000000003          	2013	M06	         9.6	R
Mississippi	LAUCN280190000000003          	2014	M06	         9.6	R
Mississippi	LAUCN280190000000003          	2015	M06	         7.1	R
Mississippi	LAUCN280190000000004          	2010	M06	         456	R
Mississippi	LAUCN280190000000004          	2011	M06	         443	R
Mississippi	LAUCN280190000000004          	2012	M06	         377	R
Mississippi	LAUCN280190000000004          	2013	M06	         369	R
Mississippi	LAUCN280190000000004          	2014	M06	         339	R
Mississippi	LAUCN280190000000004          	2015	M06	         272	R
Mississippi	LAUCN280190000000005          	2010	M06	        3195	R
Mississippi	LAUCN280190000000005          	2011	M06	        3381	R
Mississippi	LAUCN280190000000005          	2012	M06	        3358	R
Mississippi	LAUCN280190000000005          	2013	M06	        3465	R
Mississippi	LAUCN280190000000005          	2014	M06	        3178	R
Mississippi	LAUCN280190000000005          	2015	M06	        3540	R
Mississippi	LAUCN280190000000006          	2010	M06	        3651	R
Mississippi	LAUCN280190000000006          	2011	M06	        3824	R
Mississippi	LAUCN280190000000006          	2012	M06	        3735	R
Mississippi	LAUCN280190000000006          	2013	M06	        3834	R
Mississippi	LAUCN280190000000006          	2014	M06	        3517	R
Mississippi	LAUCN280190000000006          	2015	M06	        3812	R
Mississippi	LAUCN280210000000003          	2010	M06	        18.8	R
Mississippi	LAUCN280210000000003          	2011	M06	        18.9	R
Mississippi	LAUCN280210000000003          	2012	M06	        18.2	R
Mississippi	LAUCN280210000000003          	2013	M06	        19.7	R
Mississippi	LAUCN280210000000003          	2014	M06	        17.0	R
Mississippi	LAUCN280210000000003          	2015	M06	        14.8	R
Mississippi	LAUCN280210000000004          	2010	M06	         689	R
Mississippi	LAUCN280210000000004          	2011	M06	         711	R
Mississippi	LAUCN280210000000004          	2012	M06	         652	R
Mississippi	LAUCN280210000000004          	2013	M06	         669	R
Mississippi	LAUCN280210000000004          	2014	M06	         542	R
Mississippi	LAUCN280210000000004          	2015	M06	         478	R
Mississippi	LAUCN280210000000005          	2010	M06	        2971	R
Mississippi	LAUCN280210000000005          	2011	M06	        3058	R
Mississippi	LAUCN280210000000005          	2012	M06	        2940	R
Mississippi	LAUCN280210000000005          	2013	M06	        2725	R
Mississippi	LAUCN280210000000005          	2014	M06	        2640	R
Mississippi	LAUCN280210000000005          	2015	M06	        2749	R
Mississippi	LAUCN280210000000006          	2010	M06	        3660	R
Mississippi	LAUCN280210000000006          	2011	M06	        3769	R
Mississippi	LAUCN280210000000006          	2012	M06	        3592	R
Mississippi	LAUCN280210000000006          	2013	M06	        3394	R
Mississippi	LAUCN280210000000006          	2014	M06	        3182	R
Mississippi	LAUCN280210000000006          	2015	M06	        3227	R
Mississippi	LAUCN280230000000003          	2010	M06	        12.8	R
Mississippi	LAUCN280230000000003          	2011	M06	        13.3	R
Mississippi	LAUCN280230000000003          	2012	M06	        12.2	R
Mississippi	LAUCN280230000000003          	2013	M06	        11.1	R
Mississippi	LAUCN280230000000003          	2014	M06	         9.9	R
Mississippi	LAUCN280230000000003          	2015	M06	         9.1	R
Mississippi	LAUCN280230000000004          	2010	M06	         850	R
Mississippi	LAUCN280230000000004          	2011	M06	         906	R
Mississippi	LAUCN280230000000004          	2012	M06	         825	R
Mississippi	LAUCN280230000000004          	2013	M06	         758	R
Mississippi	LAUCN280230000000004          	2014	M06	         629	R
Mississippi	LAUCN280230000000004          	2015	M06	         559	R
